run_id,N,e,a,b,E_per_N,radius,seed,t_max,save_interval,method,collision_method,use_parallel
237,80,0.9,2.0,1.0,0.32,0.05,7,120.0,0.5,adaptive,parallel_transport,true
238,80,0.9,2.0,1.0,0.32,0.05,8,120.0,0.5,adaptive,parallel_transport,true
239,80,0.9,2.0,1.0,0.32,0.05,9,120.0,0.5,adaptive,parallel_transport,true
240,80,0.9,2.0,1.0,0.32,0.05,10,120.0,0.5,adaptive,parallel_transport,true
241,80,0.95,2.0,1.0,0.32,0.05,1,120.0,0.5,adaptive,parallel_transport,true
242,80,0.95,2.0,1.0,0.32,0.05,2,120.0,0.5,adaptive,parallel_transport,true
243,80,0.95,2.0,1.0,0.32,0.05,3,120.0,0.5,adaptive,parallel_transport,true
244,80,0.95,2.0,1.0,0.32,0.05,4,120.0,0.5,adaptive,parallel_transport,true
245,80,0.95,2.0,1.0,0.32,0.05,5,120.0,0.5,adaptive,parallel_transport,true
246,80,0.95,2.0,1.0,0.32,0.05,6,120.0,0.5,adaptive,parallel_transport,true
247,80,0.95,2.0,1.0,0.32,0.05,7,120.0,0.5,adaptive,parallel_transport,true
248,80,0.95,2.0,1.0,0.32,0.05,8,120.0,0.5,adaptive,parallel_transport,true
249,80,0.95,2.0,1.0,0.32,0.05,9,120.0,0.5,adaptive,parallel_transport,true
250,80,0.95,2.0,1.0,0.32,0.05,10,120.0,0.5,adaptive,parallel_transport,true
251,80,0.98,2.0,1.0,0.32,0.05,1,120.0,0.5,adaptive,parallel_transport,true
252,80,0.98,2.0,1.0,0.32,0.05,2,120.0,0.5,adaptive,parallel_transport,true
253,80,0.98,2.0,1.0,0.32,0.05,3,120.0,0.5,adaptive,parallel_transport,true
254,80,0.98,2.0,1.0,0.32,0.05,4,120.0,0.5,adaptive,parallel_transport,true
255,80,0.98,2.0,1.0,0.32,0.05,5,120.0,0.5,adaptive,parallel_transport,true
256,80,0.98,2.0,1.0,0.32,0.05,6,120.0,0.5,adaptive,parallel_transport,true
257,80,0.98,2.0,1.0,0.32,0.05,7,120.0,0.5,adaptive,parallel_transport,true
258,80,0.98,2.0,1.0,0.32,0.05,8,120.0,0.5,adaptive,parallel_transport,true
259,80,0.98,2.0,1.0,0.32,0.05,9,120.0,0.5,adaptive,parallel_transport,true
260,80,0.98,2.0,1.0,0.32,0.05,10,120.0,0.5,adaptive,parallel_transport,true
261,80,0.99,2.0,1.0,0.32,0.05,1,120.0,0.5,adaptive,parallel_transport,true
262,80,0.99,2.0,1.0,0.32,0.05,2,120.0,0.5,adaptive,parallel_transport,true
263,80,0.99,2.0,1.0,0.32,0.05,3,120.0,0.5,adaptive,parallel_transport,true
264,80,0.99,2.0,1.0,0.32,0.05,4,120.0,0.5,adaptive,parallel_transport,true
265,80,0.99,2.0,1.0,0.32,0.05,5,120.0,0.5,adaptive,parallel_transport,true
266,80,0.99,2.0,1.0,0.32,0.05,6,120.0,0.5,adaptive,parallel_transport,true
267,80,0.99,2.0,1.0,0.32,0.05,7,120.0,0.5,adaptive,parallel_transport,true
268,80,0.99,2.0,1.0,0.32,0.05,8,120.0,0.5,adaptive,parallel_transport,true
269,80,0.99,2.0,1.0,0.32,0.05,9,120.0,0.5,adaptive,parallel_transport,true
270,80,0.99,2.0,1.0,0.32,0.05,10,120.0,0.5,adaptive,parallel_transport,true
271,100,0.0,2.0,1.0,0.32,0.05,1,120.0,0.5,adaptive,parallel_transport,true
272,100,0.0,2.0,1.0,0.32,0.05,2,120.0,0.5,adaptive,parallel_transport,true
273,100,0.0,2.0,1.0,0.32,0.05,3,120.0,0.5,adaptive,parallel_transport,true
274,100,0.0,2.0,1.0,0.32,0.05,4,120.0,0.5,adaptive,parallel_transport,true
275,100,0.0,2.0,1.0,0.32,0.05,5,120.0,0.5,adaptive,parallel_transport,true
276,100,0.0,2.0,1.0,0.32,0.05,6,120.0,0.5,adaptive,parallel_transport,true
