time,total_energy,angular_momentum
0.8900004055,3.015949887704558e+01,8.944192668156061e-01
0.9000004055,3.015949877907530e+01,8.523093030964513e-01
0.9100004055,3.015949867571731e+01,8.097997204733615e-01
0.9200008322,3.015949855901185e+01,4.052376904876459e-01
0.9300008322,3.015949842518690e+01,3.558437950111497e-01
0.9400006337,3.015949828610966e+01,7.948776279262896e-01
0.9500008041,3.015949814531039e+01,1.086336592757669e+00
0.9600007063,3.015949798010855e+01,9.675798963330940e-01
0.9700001348,3.015949775202070e+01,4.039449622614339e-01
0.9800009714,3.015949748736427e+01,-2.038504866322227e-01
0.9900006129,3.015949717427466e+01,-5.982480777900786e-01
