time,particle_id,theta,theta_dot,x,y,vx,vy,energy
0.0900100000,10,0.4024623840,0.1518712501,1.8401986103,0.3916851653,-0.1189714314,0.1397366317,1.6197597051e-01
0.1000100000,1,3.4788251734,0.9337420614,-1.8873479460,-0.3308767635,0.6179071025,-0.8811480809,1.2102224587e+01
0.1000100000,2,0.0856046029,-0.8869999148,1.9926763260,0.0855000874,0.1516771405,-0.8837518657,7.3281480456e-03
0.1000100000,3,0.8070866089,0.7727063642,1.3832112712,0.7222753248,-1.1162134804,0.5344080762,6.5138879421e-01
0.1000100000,4,2.3462474479,0.2586943287,-1.4000765891,0.7141053047,-0.3694699849,-0.1810959367,5.5048770868e+00
0.1000100000,5,3.0858559275,-0.3590333147,-1.9968942215,0.0557078721,0.0400019640,0.3584757757,9.5225068053e+00
0.1000100000,6,4.1109063585,0.8190096202,-1.1317310260,-0.8244975568,1.3505428618,-0.4634492989,1.6899551088e+01
0.1000100000,7,2.6559153741,-0.2385535046,-1.7687179858,0.4668074246,0.2227170943,0.2109669371,7.0538864746e+00
0.1000100000,8,5.2902585504,0.2132791778,1.0924813387,-0.8376282774,0.3572973406,0.1165017608,2.7986835530e+01
0.1000100000,9,4.4099255152,-0.8648445300,-0.5957454915,-0.9546055873,-1.6511708409,0.2576136148,1.9447443050e+01
0.1000100000,10,0.4039802439,0.1517006131,1.8390074445,0.3930812954,-0.1192613470,0.1394892784,1.6320003745e-01
0.1100100000,1,3.4881319178,0.9276044577,-1.8811075278,-0.3396448398,0.6301121349,-0.8724618641,1.2167064276e+01
0.1100100000,2,0.0767250857,-0.8888741249,1.9941161485,0.0766498311,0.1362641031,-0.8862591232,5.8867387739e-03
0.1100100000,3,0.8147963561,0.7692504945,1.3720331522,0.7275859106,-1.1193916430,0.5277185904,6.6389310190e-01
0.1100100000,4,2.3488363770,0.2590922906,-1.4037694289,0.7122905640,-0.3690979877,-0.1818529184,5.5170323258e+00
0.1100100000,5,3.0822666808,-0.3588136330,-1.9964814611,0.0592911786,0.0425489664,0.3581823831,9.5003678914e+00
0.1100100000,6,4.1190811343,0.8159534719,-1.1182131959,-0.8290957798,1.3530071602,-0.4562049698,1.6966829391e+01
0.1100100000,7,2.6535319652,-0.2381281505,-1.7664877782,0.4689138859,0.2233231928,0.2103252338,7.0412318902e+00
0.1100100000,8,5.2923923486,0.2134808467,1.0960535084,-0.8364608040,0.3571367213,0.1169932155,2.8009416772e+01
0.1100100000,9,4.4012684400,-0.8665816406,-0.6122511458,-0.9519911416,-1.6499560906,0.2652828012,1.9371163881e+01
0.1100100000,10,0.4054963988,0.1515302480,1.8378133870,0.3944749531,-0.1195497750,0.1392421592,1.6442732944e-01
0.1200100000,1,3.4973774055,0.9214917990,-1.8747468559,-0.3483260780,0.6419592485,-0.8637819264,1.2231648716e+01
0.1200100000,2,0.0678277722,-0.8905580282,1.9954011568,0.0677757760,0.1207165229,-0.8885102599,4.6006066814e-03
0.1200100000,3,0.8224718656,0.7658586769,1.3608236613,0.7328299535,-1.1224883571,0.5210993044,6.7645996975e-01
0.1200100000,4,2.3514292981,0.2594927433,-1.4074585323,0.7104682399,-0.3687227052,-0.1826126378,5.5292197441e+00
0.1200100000,5,3.0786796961,-0.3585809045,-1.9960432651,0.0628714637,0.0450890126,0.3578714997,9.4782686714e+00
0.1200100000,6,4.1272256733,0.8129620900,-1.1046710521,-0.8336218967,1.3554059988,-0.4490278436,1.7033991758e+01
0.1200100000,7,2.6511528015,-0.2377044562,-1.7642515349,0.4710139386,0.2239242243,0.2096852259,7.0286111767e+00
0.1200100000,8,5.2945281692,0.2136836581,1.0996240661,-0.8352884103,0.3569749661,0.1174858465,2.8032028534e+01
0.1200100000,9,4.3925937094,-0.8683757993,-0.6287444359,-0.9492997991,-1.6486979437,0.2729932261,1.9294879496e+01
0.1200100000,10,0.4070108514,0.1513601578,1.8366164526,0.3958661409,-0.1198367231,0.1389952781,1.6565783318e-01
0.1300100000,1,3.5065619167,0.9154101764,-1.8682694645,-0.3569205823,0.6534574664,-0.8551164400,1.2295976476e+01
0.1300100000,2,0.0589145931,-0.8920462003,1.9965300746,0.0588805176,0.1050482840,-0.8904985334,3.4709292779e-03
0.1300100000,3,0.8301137717,0.7625296572,1.3495836000,0.7380081481,-1.1255062003,0.5145487599,6.8908887397e-01
0.1300100000,4,2.3540262363,0.2598957033,-1.4111438664,0.7086383049,-0.3683441012,-0.1833751138,5.5414395212e+00
0.1300100000,5,3.0750951034,-0.3583352531,-1.9955797050,0.0664485531,0.0476217182,0.3575432793,9.4562098952e+00
0.1300100000,6,4.1353406165,0.8100341755,-1.0911052395,-0.8380765711,1.3577413286,-0.4419162665,1.7101042015e+01
0.1300100000,7,2.6487778664,-0.2372824251,-1.7620093065,0.4731075997,0.2245202372,0.2090469207,7.0160241854e+00
0.1300100000,8,5.2966660236,0.2138876180,1.1031930006,-0.8341110843,0.3568120659,0.1179796615,2.8054670966e+01
0.1300100000,9,4.3839007489,-0.8702278266,-0.6452249232,-0.9465311403,-1.6473954742,0.2807463413,1.9218585776e+01
0.1300100000,10,0.4085236045,0.1511903451,1.8354166561,0.3972548610,-0.1201221990,0.1387486388,1.6689153546e-01
0.1400100000,1,3.5156857901,0.9093651264,-1.8616787969,-0.3654285352,0.6646159321,-0.8464728872,1.2360046574e+01
0.1400100000,2,0.0499875305,-0.8933337696,1.9975017671,0.0499667153,0.0892739083,-0.8922178917,2.4987532016e-03
0.1400100000,3,0.8377226961,0.7592622078,1.3383137445,0.7431211747,-1.1284476476,0.5080655242,7.0177931564e-01
0.1400100000,4,2.3566272167,0.2603011871,-1.4148253976,0.7068007312,-0.3679621387,-0.1841403653,5.5536918383e+00
0.1400100000,5,3.0715130313,-0.3580768087,-1.9950908562,0.0700222745,0.0501467051,0.3571978834,9.4341923012e+00
0.1400100000,6,4.1434265924,0.8071684674,-1.0775163837,-0.8424604505,1.3600150214,-0.4348686240,1.7167983926e+01
0.1400100000,7,2.6464071433,-0.2368620602,-1.7597611429,0.4751948863,0.2251112796,0.2084103249,7.0034707681e+00
0.1400100000,8,5.2988059234,0.2140927325,1.1067603002,-0.8329288142,0.3566480117,0.1184746685,2.8077344214e+01
0.1400100000,9,4.3751889755,-0.8721385754,-0.6616921597,-0.9436847310,-1.6460477138,0.2885436288,1.9142278571e+01
0.1400100000,10,0.4100346609,0.1510208124,1.8342140122,0.3986411160,-0.1204062104,0.1385022451,1.6812842315e-01
0.1500000000,1,3.5247403830,0.9033676411,-1.8549849591,-0.3738418120,0.6754331916,-0.8378666934,1.2423794767e+01
0.1500000000,2,0.0410575564,-0.8944154829,1.9983145139,0.0410460221,0.0734243953,-0.8936617204,1.6857229365e-03
0.1500000000,3,0.8452916881,0.7560583056,1.3270261600,0.7481646828,-1.1313122448,0.5016545750,7.1451803789e-01
0.1500000000,4,2.3592296575,0.2607088022,-1.4184994165,0.7049573401,-0.3675771675,-0.1849076419,5.5659645766e+00
0.1500000000,5,3.0679371849,-0.3578059845,-1.9945773242,0.0735888883,0.0526610893,0.3568358515,9.4122385707e+00
0.1500000000,6,4.1514761731,0.8043665160,-1.0639187143,-0.8467698875,1.3622266885,-0.4278902948,1.7234754416e+01
0.1500000000,7,2.6440429800,-0.2364437822,-1.7575093504,0.4772737378,0.2256968154,0.2077760790,6.9909632799e+00
0.1500000000,8,5.3009457371,0.2142988010,1.1103223887,-0.8317427777,0.3564829600,0.1189703783,2.8100025708e+01
0.1500000000,9,4.3664665387,-0.8741069316,-0.6781292410,-0.9407630856,-1.6446550681,0.2963787350,1.9066030033e+01
0.1500000000,10,0.4115425149,0.1508517315,1.8330097423,0.4000235257,-0.1206884830,0.1382563468,1.6936724154e-01
0.1600000000,1,3.5337442611,0.8974102247,-1.8481778067,-0.3821775749,0.6859401267,-0.8292868304,1.2487348503e+01
0.1600000000,2,0.0321088588,-0.8952898712,1.9989691098,0.0321033418,0.0574835935,-0.8948283984,1.0309788120e-03
0.1600000000,3,0.8528364979,0.7529103631,1.3156989769,0.7531494211,-1.1341080083,0.4953016972,7.2733009213e-01
0.1600000000,4,2.3618387942,0.2611193814,-1.4221732442,0.7031044132,-0.3671883788,-0.1856784989,5.5782824899e+00
0.1600000000,5,3.0643605314,-0.3575223797,-1.9940381636,0.0771553661,0.0551695402,0.3564566348,9.3903054661e+00
0.1600000000,6,4.1595060773,0.8016215243,-1.0502855980,-0.8510141248,1.3643824800,-0.4209657710,1.7301490807e+01
0.1600000000,7,2.6416806266,-0.2360267560,-1.7552494700,0.4793483331,0.2262780642,0.2071429192,6.9784765331e+00
0.1600000000,8,5.3030897604,0.2145062421,1.1138863857,-0.8305505884,0.3563165711,0.1194677913,2.8122761007e+01
0.1600000000,9,4.3577153760,-0.8761377553,-0.6945686061,-0.9377598908,-1.6432136915,0.3042688897,1.8989683298e+01
0.1600000000,10,0.4130501879,0.1506827664,1.8318014501,0.4014048603,-0.1209695896,0.1380104550,1.7061045775e-01
0.1700000000,1,3.5426888125,0.8915029506,-1.8412671527,-0.3904277373,0.6961349596,-0.8207475497,1.2550644022e+01
0.1700000000,2,0.0231524715,-0.8959527825,1.9994639870,0.0231504031,0.0414833361,-0.8957126613,5.3603693453e-04
0.1700000000,3,0.8603501192,0.7498204701,1.3043441859,0.7580709473,-1.1368342282,0.4890119853,7.4020232762e-01
0.1700000000,4,2.3644520496,0.2615325348,-1.4258431668,0.7012437635,-0.3667961180,-0.1864521888,5.5906334951e+00
0.1700000000,5,3.0607867757,-0.3572264062,-1.9934739623,0.0807179683,0.0576691795,0.3560607697,9.3684156865e+00
0.1700000000,6,4.1675088255,0.7989351739,-1.0366312079,-0.8551894145,1.3664818072,-0.4141005671,1.7368129811e+01
0.1700000000,7,2.6393224352,-0.2356114034,-1.7529838013,0.4814166055,0.2268544841,0.2065114868,6.9660229170e+00
0.1700000000,8,5.3052358639,0.2147148563,1.1174487129,-0.8293534190,0.3561490004,0.1199664199,2.8145527571e+01
0.1700000000,9,4.3489435987,-0.8782300620,-0.7109933156,-0.9346775520,-1.6417238490,0.3122078518,1.8913310425e+01
0.1700000000,10,0.4145561728,0.1505140889,1.8305903540,0.4027837372,-0.1212492544,0.1377648196,1.7185682040e-01
0.1800000000,1,3.5515745567,0.8856494294,-1.8342560725,-0.3985927309,0.7060268494,-0.8122539220,1.2613681832e+01
0.1800000000,2,0.0141905211,-0.8964019503,1.9997986325,0.0141900449,0.0254399678,-0.8963116972,2.0137088928e-04
0.1800000000,3,0.8678331269,0.7467875052,1.2929624719,0.7629298864,-1.1394930131,0.4827841094,7.5313433612e-01
0.1800000000,4,2.3670694495,0.2619482795,-1.4295091492,0.6993753628,-0.3664003460,-0.1872287311,5.6030177789e+00
0.1800000000,5,3.0572160410,-0.3569182163,-1.9928848101,0.0842765296,0.0601596572,0.3556484459,9.3465699214e+00
0.1800000000,6,4.1754849985,0.7963063448,-1.0229561005,-0.8592963424,1.3685262591,-0.4072932166,1.7434674972e+01
0.1800000000,7,2.6369683889,-0.2351977260,-1.7507123924,0.4834785722,0.2274261215,0.2058817868,6.9536022843e+00
0.1800000000,8,5.3073840594,0.2149246501,1.1210093584,-0.8281512571,0.3559802383,0.1204662720,2.8168325554e+01
0.1800000000,9,4.3401505872,-0.8803848438,-0.7274028790,-0.9315155731,-1.6401843847,0.3201972350,1.8836907119e+01
0.1800000000,10,0.4160604723,0.1503457014,1.8293764685,0.4041601590,-0.1215274852,0.1375194441,1.7310631663e-01
0.1900000000,1,3.5604020477,0.8798528628,-1.8271475500,-0.4066730352,0.7156248686,-0.8038105013,1.2676462741e+01
0.1900000000,2,0.0052251535,-0.8966358307,1.9999726978,0.0052251297,0.0093700770,-0.8966235907,2.7302228946e-05
0.1900000000,3,0.8752860847,0.7438103731,1.2815544990,0.7677268502,-1.1420863898,0.4766167650,7.6612573008e-01
0.1900000000,4,2.3696910199,0.2623666325,-1.4331711562,0.6974991823,-0.3660010233,-0.1880081450,5.6154355296e+00
0.1900000000,5,3.0536484485,-0.3565979674,-1.9922708003,0.0878308861,0.0626406309,0.3552198590,9.3247688473e+00
0.1900000000,6,4.1834351659,0.7937339504,-1.0092608170,-0.8633354799,1.3705173619,-0.4005422876,1.7501129787e+01
0.1900000000,7,2.6346184711,-0.2347857256,-1.7484352908,0.4855342506,0.2279930226,0.2052538242,6.9412144881e+00
0.1900000000,8,5.3095343588,0.2151356297,1.1245683102,-0.8269440906,0.3558102752,0.1209673558,2.8191155107e+01
0.1900000000,9,4.3313357115,-0.8826031303,-0.7437967941,-0.9282734415,-1.6385940906,0.3282386894,1.8760469046e+01
0.1900000000,10,0.4175630894,0.1501776063,1.8281598078,0.4055341284,-0.1218042893,0.1372743319,1.7435893366e-01
0.2000000000,1,3.5691718694,0.8741160710,-1.8199444791,-0.4146691732,0.7249379769,-0.7954213587,1.2738987834e+01
0.2000000000,2,6.2794438333,-0.8966536169,1.9999860014,-0.0037414652,-0.0067095965,-0.8966473410,3.9431414856e+01
0.2000000000,3,0.8827095456,0.7408880039,1.2701209114,0.7724624376,-1.1446163071,0.4705086734,7.7917614195e-01
0.2000000000,4,2.3723167868,0.2627876112,-1.4368291520,0.6956151932,-0.3655981098,-0.1887904503,5.6278869371e+00
0.2000000000,5,3.0500841181,-0.3562658218,-1.9916320297,0.0913808764,0.0651117660,0.3547752109,9.3030131277e+00
0.2000000000,6,4.1913598869,0.7912169358,-0.9955458834,-0.8673073841,1.3724565817,-0.3938463816,1.7567497701e+01
0.2000000000,7,2.6322726648,-0.2343754033,-1.7461525437,0.4875836580,0.2285552329,0.2046276033,6.9288593820e+00
0.2000000000,8,5.3116867739,0.2153478015,1.1281255564,-0.8257319070,0.3556391015,0.1214696792,2.8214016384e+01
0.2000000000,9,4.3224983313,-0.8848859898,-0.7601745465,-0.9249506283,-1.6369517045,0.3363339030,1.8683991824e+01
0.2000000000,10,0.4190640271,0.1500098058,1.8269403861,0.4069056480,-0.1220796745,0.1370294863,1.7561465878e-01
0.2100000000,1,3.5778846322,0.8684415198,-1.8126496647,-0.4225817061,0.7339749981,-0.7870901148,1.2801258442e+01
0.2100000000,2,6.2704781080,-0.8964552473,1.9998385293,-0.0127068572,-0.0227822575,-0.8963828717,3.9318895704e+01
0.2100000000,3,0.8901040521,0.7380193531,1.2586623345,0.7771372349,-1.1470846389,0.4644585810,7.9228522349e-01
0.2100000000,4,2.3749467768,0.2632112328,-1.4404831006,0.6937233665,-0.3651915650,-0.1895756663,5.6403721926e+00
0.2100000000,5,3.0465231679,-0.3559219463,-1.9909685983,0.0949263408,0.0675727359,0.3543147092,9.2813034127e+00
0.2100000000,6,4.1992597100,0.7887542773,-0.9818118115,-0.8712125985,1.3743453270,-0.3872041329,1.7633782112e+01
0.2100000000,7,2.6299309534,-0.2339667601,-1.7438641978,0.4896268119,0.2291127977,0.2040031282,6.9165368198e+00
0.2100000000,8,5.3138413167,0.2155611719,1.1316810848,-0.8245146940,0.3554667073,0.1219732504,2.8236909539e+01
0.2100000000,9,4.3136377953,-0.8872345305,-0.7765356085,-0.9215465871,-1.6352559070,0.3444846030,1.8607471029e+01
0.2100000000,10,0.4205632882,0.1498423023,1.8257182176,0.4082747205,-0.1223536482,0.1367849106,1.7687347936e-01
