time,total_energy,momentum_x,momentum_y
0.3500081969,4.446847017763780e+00,-5.286678527778425e-01,-1.894498660474989e-01
0.3600081969,4.446847062539582e+00,-5.311716407336806e-01,-1.692402946706197e-01
0.3700081969,4.446847109858624e+00,-5.334910323180749e-01,-1.487872157586991e-01
0.3800081969,4.446847159653855e+00,-5.356095037330443e-01,-1.280964900532010e-01
0.3900081969,4.446847211847461e+00,-5.375112731969962e-01,-1.071738366357282e-01
0.4000081969,4.446847266350880e+00,-5.391812618446472e-01,-8.602478459517479e-02
0.4100081969,4.446847323064493e+00,-5.406050480925827e-01,-6.465462798962540e-02
0.4200081969,4.446847381877386e+00,-5.417688161532270e-01,-4.306838449051500e-02
0.4300081969,4.446847442667617e+00,-5.426592993679038e-01,-2.127075800808759e-02
0.4400081969,4.446847505301982e+00,-5.432637190071192e-01,7.338944858771290e-04
0.4500059699,4.446847569460251e+00,-4.882841466733407e-01,-5.778988540541335e-02
0.4600059699,4.446847635154823e+00,-4.881297084055691e-01,-3.546786572460259e-02
0.4700059699,4.446847702217759e+00,-4.876473298212872e-01,-1.295070194755679e-02
0.4800059699,4.446847770468684e+00,-4.868254596791727e-01,9.758892094206689e-03
0.4900032218,4.446847836991171e+00,-3.316005005347791e-01,3.038576086541638e-01
0.5000032218,4.446847876005749e+00,-3.278506736005583e-01,3.285153511098528e-01
0.5100032218,4.446847912066726e+00,-3.235013388594696e-01,3.534438076695386e-01
0.5200032218,4.446847944678104e+00,-3.185317253239514e-01,3.786418248819112e-01
0.5300032218,4.446847973303478e+00,-3.129201427179248e-01,4.041083294741534e-01
0.5400032218,4.446847997363011e+00,-3.066438695820292e-01,4.298422601554567e-01
0.5500032218,4.446848016230376e+00,-2.996790418004376e-01,4.558424865163688e-01
0.5600032218,4.446848029229015e+00,-2.920005424516350e-01,4.821077139450313e-01
0.5700032218,4.446848035628755e+00,-2.835818940787074e-01,5.086363733415719e-01
0.5800032218,4.446848034641491e+00,-2.743951547149530e-01,5.354264942700492e-01
0.5900032218,4.446848025417083e+00,-2.644108193041319e-01,5.624755600468850e-01
0.6000032218,4.446848007038943e+00,-2.535977285205828e-01,5.897803431369641e-01
0.6100032218,4.446847978519318e+00,-2.419229874381065e-01,6.173367191193256e-01
0.6200032218,4.446847938794861e+00,-2.293518970229149e-01,6.451394574098135e-01
0.6300032218,4.446847886721651e+00,-2.158479020383038e-01,6.731819869028829e-01
0.6400032218,4.446847821071144e+00,-2.013725596630334e-01,7.014561347400878e-01
0.6500032218,4.446847740525499e+00,-1.858855339317725e-01,7.299518365545093e-01
0.6600032218,4.446847643674070e+00,-1.693446220158068e-01,7.586568168104191e-01
0.6700032218,4.446847529010538e+00,-1.517058193552591e-01,7.875562382931515e-01
0.6800032218,4.446847394930668e+00,-1.329234317251382e-01,8.166323204511842e-01
0.6900032218,4.446847239732197e+00,-1.129502434276033e-01,8.458639272006853e-01
0.7000032218,4.446847061616142e+00,-9.173775190951361e-02,8.752261260300711e-01
0.7100032218,4.446846858690332e+00,-6.923648013955372e-02,9.046897218473277e-01
0.7200032218,4.446846628976661e+00,-4.539637894741722e-02,9.342207710557078e-01
0.7300032218,4.446846370421282e+00,-2.016733209642613e-02,9.637800838739070e-01
0.7400032218,4.446846080909649e+00,6.500223020620893e-03,9.933227259746190e-01
0.7500032218,4.446845758286725e+00,3.465454672324805e-02,1.022797534104527e+00
0.7600032218,4.446845400383210e+00,6.434170952866167e-02,1.052146664433058e+00
0.7700032218,4.446845005048577e+00,9.560455750810709e-02,1.081305196858200e+00
0.7800032218,4.446844570191619e+00,1.284815263168525e-01,1.110200823183473e+00
0.7900023939,4.446844093398933e+00,3.103933701660824e-01,1.024894146820569e+00
0.8000023939,4.446843573154569e+00,3.468172909892618e-01,1.053020318290391e+00
0.8100023939,4.446843007965378e+00,3.849450710314453e-01,1.080633243183402e+00
0.8200023939,4.446842396543176e+00,4.247828120205858e-01,1.107630951169913e+00
0.8300023939,4.446841737978521e+00,4.663243654549502e-01,1.133905042778643e+00
0.8400023939,4.446841031821503e+00,5.095496136209808e-01,1.159341653796986e+00
0.8500023939,4.446840278162950e+00,5.544228383065651e-01,1.183822753598923e+00
0.8600023939,4.446839477711586e+00,6.008912643422707e-01,1.207227789987312e+00
0.8700023939,4.446838631862795e+00,6.488838751438059e-01,1.229435674873418e+00
0.8800023939,4.446837742752824e+00,6.983106022477203e-01,1.250327082502178e+00
0.8900023939,4.446836813294069e+00,7.490619884150755e-01,1.269787006136015e+00
0.9000023939,4.446835847184822e+00,8.010094125666796e-01,1.287707492086533e+00
0.9100023939,4.446834848890639e+00,8.540059436612690e-01,1.303990444423909e+00
0.9200023939,4.446833823593060e+00,9.078878598075850e-01,1.318550372768456e+00
0.9300023939,4.446832777106072e+00,9.624768299445466e-01,1.331316942546628e+00
0.9400023939,4.446831715761085e+00,1.017582711306982e+00,1.342237184783304e+00
0.9500023939,4.446830646265324e+00,1.073006870828234e+00,1.351277232695795e+00
0.9600023939,4.446829575539693e+00,1.128545897545058e+00,1.358423475329846e+00
0.9700021476,4.446828661291280e+00,1.928917177519996e+00,1.180018374720566e+00
0.9800021476,4.446828082123887e+00,1.969984867500761e+00,1.169455793704542e+00
0.9900021476,4.446827549425740e+00,2.009495027219236e+00,1.158373472131056e+00
1.0000000000,4.446827061923402e+00,2.047452316838777e+00,1.146873382530198e+00
